Title,Directions,Quantity,Unit01,Ingredient01,Quantity02,Unit02,Ingredient02,Quantity03,Unit03,Ingredient03,Quantity04,Unit04,Ingredient04,Quantity05,Unit05,Ingredient05,Quantity06,Unit06,Ingredient06,Quantity07,Unit07,Ingredient07,Quantity08,Unit08,Ingredient08,Quantity09,Unit09,Ingredient09,Quantity10,Unit10,Ingredient10,Quantity11,Unit11,Ingredient11,Quantity12,Unit12,Ingredient12,Quantity13,Unit13,Ingredient13,Quantity14,Unit14,Ingredient14,Quantity15,Unit15,Ingredient15,Quantity16,Unit16,Ingredient16,Quantity17,Unit17,Ingredient17,Quantity18,Unit18,Ingredient18,Quantity19,Unit19,Ingredient19,Category,ingredients,tokenized_ingr,ingr_json
Lemon Poppy Cake,Mix all for 4 minutes. Bake at 350 degrees for 40 minutes.,1,pkg,lemon cake mix,4,nan,eggs,1,small pkg,lemon instant pudding,1,cup,water, 1/2,cup,oil, 1/4,cup,poppy seeds,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cakes,lemon cake mix;eggs;lemon instant pudding;water;oil;poppy seeds;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan,"['lemon', 'cake', 'mix', ';', 'eggs', ';', 'lemon', 'instant', 'pudding', ';', 'water', ';', 'oil', ';', 'poppy', 'seeds', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",['eggs']
Light Old Fashioned Fruit Cake,"Sift dry ingredients into a 4 quart bowl. Add fruit and nuts. Mix until well coated. Set aside. Cream butter, gradually add sugar and cream until fluffy. Add eggs one at a time, beating well after each. Add brandy. Combine with fruit mixture. Mix well. Turn into a 10 inch tube pan or four 1# coffee cans lined with foil, filling pans 2/3 full. Bake in slow oven, 275 degrees for 2 3/4 to 3 hours. About 1/2 hour before done brush lightly with honey or light corn syrup. Cool completely then wrap tightly in foil to store for several weeks. Brush with brandy about once a week.",4,cups,sifted flour, 1/2,tsp,baking powder,1 1/2,tsp,salt,1 1/2,tsp,cinnamon,1,tsp,nutmeg,24,ounces,whole pecans,1 3/4,cups,"canned pineapple, chopped",1 3/4,cups,whole canned cherries,3 1/4,cups,golden raisins,1,cup,butter,2 1/4,cups,sugar,6,nan,eggs,3,tbsp,brandy flavoring,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cakes,"sifted flour;baking powder;salt;cinnamon;nutmeg;whole pecans;canned pineapple, chopped;whole canned cherries;golden raisins;butter;sugar;eggs;brandy flavoring;nan;nan;nan;nan;nan;nan","['sifted', 'flour', ';', 'baking', 'powder', ';', 'salt', ';', 'cinnamon', ';', 'nutmeg', ';', 'whole', 'pecans', ';', 'canned', 'pineapple', ',', 'chopped', ';', 'whole', 'canned', 'cherries', ';', 'golden', 'raisins', ';', 'butter', ';', 'sugar', ';', 'eggs', ';', 'brandy', 'flavoring', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'flour', 'eggs']"
My Best Gingerbread,Bake in greased pan for 35 minutes at 325-350 degrees., 1/4,cup,sugar, 1/2,cup,butter,1,nan,egg,1,cup,molasses,2 1/2,cups,sifted flour,1 1/2,tsp,soda,1,tsp,cinnamon,1,tsp,ginger, 1/2,tsp,cloves, 1/2,tsp,salt,1,cup,hot water,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cakes,sugar;butter;egg;molasses;sifted flour;soda;cinnamon;ginger;cloves;salt;hot water;nan;nan;nan;nan;nan;nan;nan;nan,"['sugar', ';', 'butter', ';', 'egg', ';', 'molasses', ';', 'sifted', 'flour', ';', 'soda', ';', 'cinnamon', ';', 'ginger', ';', 'cloves', ';', 'salt', ';', 'hot', 'water', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'flour']"
Oatmeal Cake,"Pour the water over the oatmeal. Let stand for 20 minutes. Add remaining cake ingredients. Mix well and pour into a greased 9""x12"" pan. Let stand while mixing topping. To prepare topping: Mix all ingredients together over low heat, until butter melts. Spoon over unbaked cake. Bake 45 minutes at 350 degrees.",1,cup,oatmeal,1 1/4,cups,boiling water,1,cup,brown sugar,1,cup,white sugar, 1/2,cup,margarine,2,nan,eggs,1 1/3,cups,flour, 1/2,tsp,salt,1,tsp,soda,1,tsp,nutmeg,1,tsp,cinnamon,1,cup,chopped nuts, 1/2,cup,evaporated milk,6,tbsp,butter,1,cup,coconut,1,tsp,valencia peanuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,cakes,oatmeal;boiling water;brown sugar;white sugar;margarine;eggs;flour;salt;soda;nutmeg;cinnamon;chopped nuts;evaporated milk;butter;coconut;valencia peanuts;nan;nan;nan,"['oatmeal', ';', 'boiling', 'water', ';', 'brown', 'sugar', ';', 'white', 'sugar', ';', 'margarine', ';', 'eggs', ';', 'flour', ';', 'salt', ';', 'soda', ';', 'nutmeg', ';', 'cinnamon', ';', 'chopped', 'nuts', ';', 'evaporated', 'milk', ';', 'butter', ';', 'coconut', ';', 'valencia', 'peanuts', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'milk', 'flour', 'eggs']"
Orange Angel Food Cake,"Prepare angel food cake as directed on package, but pour 1/3 cup of the thawed orange juice into a 2 cup measure and add enough water for the mixture to equal the amount of water called for in package directions. Continue to prepare cake as directed, baking the batter in an ungreased 10 inch tube pan. Immediately invert the cake, leaving in pan. Cool completely. Loosen sides of cake from pan; remove cake. To make the topping, in a medium bowl, gently stir together the thawed topping and yogurt. Fold in remaining orange juice concentrate. Spread topping mixture over top ad sides of cake.",1,15-16 ounce pkg,angel food cake mix, 3/4,cup,"frozen orange juice concentrate, thawed",1,container,"frozen light whipped topping, thawed", 1/2,cup ,plain low fat yogurt,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cakes,"angel food cake mix;frozen orange juice concentrate, thawed;frozen light whipped topping, thawed;plain low fat yogurt;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan","['angel', 'food', 'cake', 'mix', ';', 'frozen', 'orange', 'juice', 'concentrate', ',', 'thawed', ';', 'frozen', 'light', 'whipped', 'topping', ',', 'thawed', ';', 'plain', 'low', 'fat', 'yogurt', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",[]
Orange-Poppy Seed Pound Cake,"Preheat oven to 325 degrees. Grease and flour a 9x5x3 inch loaf pan; tap out excess flour. In large bowl beat together softened butter, sugar, vanilla, and orange peel until pale and fluffy. Beat in flour, then remaining ingredients, except the glaze (powdered sugar and 2 1/2 tsp. orange juice). Mix until well blended. Spread in prepared pan. With handle of a wooden spoon, make 1/2 inch deep score down center length of batter. Bake 50-60 minutes, until wooden pick inserted in center comes out clean. Cool in pan on rack 30 minutes; invert onto rack; remove pan. Cool completely. To prepare glaze seal powdered sugar and orange juice in small zipper-style bag. Gently massage mixture with fingers until blended and smooth. Snip off corner of bag. Drizzle glaze over cake. Let stand 1 hour or until glaze is set.",1,cup,"unsalted butter, softened",1,cup,sugar,2,tsp,vanilla,2,tsp,grated orange peel,2 1/4,cups,unsifted cake flour, 1/2,cup,fresh orange juice,4,large,eggs, 3/4,tsp,baking powder, 1/4,tsp,baking soda, 1/4,tsp,salt,2,tbsp,poppy seeds, 1/2,cup,powdered sugar,2 1/2,tsp,fresh orange juice,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cakes,"unsalted butter, softened;sugar;vanilla;grated orange peel;unsifted cake flour;fresh orange juice;eggs;baking powder;baking soda;salt;poppy seeds;powdered sugar;fresh orange juice;nan;nan;nan;nan;nan;nan","['unsalted', 'butter', ',', 'softened', ';', 'sugar', ';', 'vanilla', ';', 'grated', 'orange', 'peel', ';', 'unsifted', 'cake', 'flour', ';', 'fresh', 'orange', 'juice', ';', 'eggs', ';', 'baking', 'powder', ';', 'baking', 'soda', ';', 'salt', ';', 'poppy', 'seeds', ';', 'powdered', 'sugar', ';', 'fresh', 'orange', 'juice', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'flour', 'eggs']"
Pineapple Cake,Spread pineapple in baking dish. Sprinkle cake mix on this. Dice butter on top. Sprinkle with almonds. Bake at 350 degrees for 30 minutes.,1,2 pound can,crushed pineapple,1,pkg,yellow cake mix,1,cube,butter,1,pkg,sliced almonds,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cakes,crushed pineapple;yellow cake mix;butter;sliced almonds;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan,"['crushed', 'pineapple', ';', 'yellow', 'cake', 'mix', ';', 'butter', ';', 'sliced', 'almonds', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",[]
Pineapple-Carrot Cake*,"Mix all cake ingredients. Bake in greased and floured 9""x13"" pan at 350 degrees for 35 minutes. Frost when cool.",1,cup,oil,2,cups,sugar,4,nan,eggs,2,cups,flour,1,tsp,soda, 1/2,tsp,salt,1,tsp,cinnamon,1,tsp,vanilla,1,cup,"crushed pineapple, drained",2,cups,grated carrots,1,cup,chopped walnuts,3,ounces,cream cheese, 1/4,pound,margarine,2,cups,powdered sugar,1,tsp,vanilla,2,Tbsp,water,nan,nan,nan,nan,nan,nan,nan,nan,nan,cakes,"oil;sugar;eggs;flour;soda;salt;cinnamon;vanilla;crushed pineapple, drained;grated carrots;chopped walnuts;cream cheese;margarine;powdered sugar;vanilla;water;nan;nan;nan","['oil', ';', 'sugar', ';', 'eggs', ';', 'flour', ';', 'soda', ';', 'salt', ';', 'cinnamon', ';', 'vanilla', ';', 'crushed', 'pineapple', ',', 'drained', ';', 'grated', 'carrots', ';', 'chopped', 'walnuts', ';', 'cream', 'cheese', ';', 'margarine', ';', 'powdered', 'sugar', ';', 'vanilla', ';', 'water', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'eggs', 'flour']"
Potatoe Cake,"Mix in order given.  Bake at 350 degrees for 25 minutes in two, 9"" pans.",2,cups,sugar,1,cup,shortening, 1/2,cup,milk,1,cup,mashed potatoes,4,nan,"eggs, beaten separately",2,cups,flour,2,tsp,baking powder,2,tsp,cocoa,1,cup,chopped walnuts,1,tsp,vanilla,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cakes,"sugar;shortening;milk;mashed potatoes;eggs, beaten separately;flour;baking powder;cocoa;chopped walnuts;vanilla;nan;nan;nan;nan;nan;nan;nan;nan;nan","['sugar', ';', 'shortening', ';', 'milk', ';', 'mashed', 'potatoes', ';', 'eggs', ',', 'beaten', 'separately', ';', 'flour', ';', 'baking', 'powder', ';', 'cocoa', ';', 'chopped', 'walnuts', ';', 'vanilla', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'flour', 'milk', 'cocoa', 'eggs']"
Pumpkin Swirl Cheesecake,"CRUST: Combine crumbs and melted margarine, press into bottom and sides of 9 inch form pan.FILLING: Combine cheese, 1/2 cup sugar and vanilla. Mix at medium speed until well blended. Add eggs, one at a time. Reserve 1 cup of this mixture, then add pumpkin, remaining sugar and spices to remaining cheese mixture. Mix well. Layer half of pumpkin mixture an half of cheese mixture over crust. Repeat layers. Cut through bater with knife several times to marble. Bake at 350 degrees for 55 minutes. Loosen from rim of pan. Cool before removing. Chill.",2,cups,vanilla wafer crumbs, 1/4,cups,melted margarine,2,8 oz. pkgs.,lite cream cheese, 3/4,cups,sugar,1,tsp,vanilla,3,nan,eggs,1,cup,pumpkin, 3/4,tsp,cinnamon, 1/4,tsp,nutmeg,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cakes,vanilla wafer crumbs;melted margarine;lite cream cheese;sugar;vanilla;eggs;pumpkin;cinnamon;nutmeg;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan,"['vanilla', 'wafer', 'crumbs', ';', 'melted', 'margarine', ';', 'lite', 'cream', 'cheese', ';', 'sugar', ';', 'vanilla', ';', 'eggs', ';', 'pumpkin', ';', 'cinnamon', ';', 'nutmeg', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'eggs']"
Refrigerator Cheesecake,"Crush flakes, mix with butter and sugar. Press 3/4 of mixture into spring for pan. Chill. Soften gelatin in water. Beat egg yolks slightly; stir in salt, sugar and milk. Cook over hot water or very low heat. Stir constantly until it thickens. Remove from heat. Stir in softened gelatin. Cool. Beat cheese until creamy. Combine with lemon rind and juice. Add to gelatin mixture, mixing well. Whip cream until stiff. Beat egg whites until stiff but not dry. Fold cheese mixture to whipped cream. Spread in pan over crumb mixture. Sprinkle remaining crumbs on top. Chill until firm.",4,cups,cornflakes, 1/3,cup,butter, 1/4,cup,sugar,1 1/2,tbsp,gelatin, 1/2,cup,cold water,2,nan,"eggs, separated", 1/2,tsp,salt, 1/2,cup,milk,1,pound,cottage cheese,1,tsp,grated lemon rind, 1/4,cup,lemon juice, 1/2,cup,heavy cream,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cakes,"cornflakes;butter;sugar;gelatin;cold water;eggs, separated;salt;milk;cottage cheese;grated lemon rind;lemon juice;heavy cream;nan;nan;nan;nan;nan;nan;nan","['cornflakes', ';', 'butter', ';', 'sugar', ';', 'gelatin', ';', 'cold', 'water', ';', 'eggs', ',', 'separated', ';', 'salt', ';', 'milk', ';', 'cottage', 'cheese', ';', 'grated', 'lemon', 'rind', ';', 'lemon', 'juice', ';', 'heavy', 'cream', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'milk', 'eggs']"
